period,state,state_description,coal_capability,coal_capability_change,coal_percent_share,total_capability
1992,OR,Oregon,521.0,-22.0,0.025,20882.0
1993,OR,Oregon,521.0,0.0,0.025,20829.0
1994,OR,Oregon,521.0,0.0,0.025,20863.0
1995,OR,Oregon,521.0,0.0,0.024,21596.0
1996,OR,Oregon,521.0,0.0,0.023,22823.0
1997,OR,Oregon,521.0,0.0,0.023,22818.0
1998,OR,Oregon,541.0,20.0,0.024,22670.0
1999,OR,Oregon,543.0,2.0,0.024,22387.0
2000,OR,Oregon,570.0,27.0,0.025,22553.0
2001,OR,Oregon,567.0,-3.0,0.024,23539.0
2002,OR,Oregon,567.0,0.0,0.023,24977.0
2003,OR,Oregon,566.0,-1.0,0.022,25567.0
2004,OR,Oregon,566.0,0.0,0.023,24159.0
2005,OR,Oregon,585.0,19.0,0.024,24397.0
2006,OR,Oregon,585.0,0.0,0.024,24667.0
2007,OR,Oregon,585.0,0.0,0.022,26418.0
2008,OR,Oregon,585.0,0.0,0.02,29723.9
2009,OR,Oregon,585.0,0.0,0.019,31009.7
2010,OR,Oregon,585.0,0.0,0.019,31374.6
2011,OR,Oregon,585.0,0.0,0.018,32114.0
2012,OR,Oregon,585.0,0.0,0.017,34109.3
2013,OR,Oregon,585.0,0.0,0.017,34384.1
2014,OR,Oregon,585.0,0.0,0.017,35038.4
2015,OR,Oregon,585.0,0.0,0.017,35124.7
2016,OR,Oregon,585.0,0.0,0.016,36501.6
2017,OR,Oregon,585.0,0.0,0.016,36987.1
2018,OR,Oregon,585.0,0.0,0.016,37234.2
2019,OR,Oregon,585.0,0.0,0.016,37705.4
1990,PA,Pennsylvania,18120.0,,0.264,68753.0
1991,PA,Pennsylvania,17550.0,-570.0,0.255,68925.0
1992,PA,Pennsylvania,18272.0,722.0,0.263,69488.0
1993,PA,Pennsylvania,18425.0,153.0,0.264,69773.0
1994,PA,Pennsylvania,18395.0,-30.0,0.261,70372.0
1995,PA,Pennsylvania,19069.0,674.0,0.262,72829.0
1996,PA,Pennsylvania,19032.0,-37.0,0.259,73553.0
1997,PA,Pennsylvania,18955.0,-77.0,0.259,73300.0
1998,PA,Pennsylvania,18901.0,-54.0,0.259,73114.0
1999,PA,Pennsylvania,18830.0,-71.0,0.257,73390.0
2000,PA,Pennsylvania,18750.0,-80.0,0.254,73697.0
2001,PA,Pennsylvania,18578.0,-172.0,0.247,75253.0
2002,PA,Pennsylvania,18377.0,-201.0,0.231,79422.0
2003,PA,Pennsylvania,18137.0,-240.0,0.214,84736.0
2004,PA,Pennsylvania,18662.0,525.0,0.21,88843.0
2005,PA,Pennsylvania,18659.0,-3.0,0.208,89793.0
2006,PA,Pennsylvania,18771.0,112.0,0.209,90011.0
2007,PA,Pennsylvania,18581.0,-190.0,0.206,90211.0
2008,PA,Pennsylvania,18512.7,-68.3,0.177,104326.5
2009,PA,Pennsylvania,18539.0,26.3,0.176,105264.7
2010,PA,Pennsylvania,18481.4,-57.6,0.176,105125.4
2011,PA,Pennsylvania,18067.6,-413.8,0.17,106032.1
2012,PA,Pennsylvania,17255.9,-811.7,0.164,104980.5
2013,PA,Pennsylvania,14599.7,-2656.2,0.145,100349.4
2014,PA,Pennsylvania,14213.5,-386.2,0.142,99794.5
2015,PA,Pennsylvania,13618.4,-595.1,0.137,99181.4
2016,PA,Pennsylvania,12729.3,-889.1,0.121,105060.0
2017,PA,Pennsylvania,11281.0,-1448.3,0.106,106512.9
2018,PA,Pennsylvania,11536.2,255.2,0.096,119811.1
2019,PA,Pennsylvania,9384.2,-2152.0,0.078,120392.4
2020,PA,Pennsylvania,8593.0,-791.2,0.069,124383.7
2021,PA,Pennsylvania,9999.6,1406.6,0.08,125704.5
2022,PA,Pennsylvania,8023.2,-1976.4,0.064,125588.2
2023,PA,Pennsylvania,6008.7,-2014.5,0.048,125939.1
2024,PA,Pennsylvania,5382.6,-626.1,0.042,126742.6
1990,SC,South Carolina,4976.0,,0.163,30567.0
1991,SC,South Carolina,4983.0,7.0,0.15,33181.0
1992,SC,South Carolina,4983.0,0.0,0.151,33106.0
1993,SC,South Carolina,5001.0,18.0,0.151,33168.0
1994,SC,South Carolina,5001.0,0.0,0.151,33209.0
1995,SC,South Carolina,5483.0,482.0,0.16,34196.0
1996,SC,South Carolina,5602.0,119.0,0.159,35140.0
1997,SC,South Carolina,5925.0,323.0,0.166,35672.0
1998,SC,South Carolina,6138.0,213.0,0.169,36234.0
1999,SC,South Carolina,6186.0,48.0,0.17,36299.0
2000,SC,South Carolina,6156.0,-30.0,0.165,37372.0
2001,SC,South Carolina,6180.0,24.0,0.159,38854.0
2002,SC,South Carolina,6028.0,-152.0,0.148,40712.0
2003,SC,South Carolina,6028.0,0.0,0.146,41317.0
2004,SC,South Carolina,6072.0,44.0,0.137,44393.0
2005,SC,South Carolina,6072.0,0.0,0.135,45103.0
2006,SC,South Carolina,6088.0,16.0,0.134,45564.0
2007,SC,South Carolina,6641.0,553.0,0.141,47131.0
2008,SC,South Carolina,7241.5,600.5,0.134,54063.3
2009,SC,South Carolina,7209.5,-32.0,0.134,53921.1
2010,SC,South Carolina,7229.5,20.0,0.134,53940.8
2011,SC,South Carolina,7257.5,28.0,0.134,54158.0
2012,SC,South Carolina,6225.5,-1032.0,0.12,52073.8
2013,SC,South Carolina,5945.5,-280.0,0.114,52065.1
2014,SC,South Carolina,5575.5,-370.0,0.108,51847.3
2015,SC,South Carolina,5547.0,-28.5,0.108,51486.3
2016,SC,South Carolina,5212.0,-335.0,0.101,51632.0
2017,SC,South Carolina,5212.0,0.0,0.1,52236.5
2018,SC,South Carolina,5212.0,0.0,0.095,54627.4
2019,SC,South Carolina,4769.0,-443.0,0.085,55954.1
2020,SC,South Carolina,4769.0,0.0,0.085,56336.6
2021,SC,South Carolina,4789.0,20.0,0.085,56668.4
2022,SC,South Carolina,4789.0,0.0,0.084,56832.6
2023,SC,South Carolina,4749.0,-40.0,0.083,57178.4
2024,SC,South Carolina,4754.0,5.0,0.082,57882.0
1990,SD,South Dakota,495.0,,0.098,5034.0
1991,SD,South Dakota,484.0,-11.0,0.096,5038.0
1992,SD,South Dakota,467.0,-17.0,0.092,5086.0
1993,SD,South Dakota,467.0,0.0,0.092,5086.0
1994,SD,South Dakota,488.0,21.0,0.086,5662.0
1995,SD,South Dakota,475.0,-13.0,0.084,5635.0
1996,SD,South Dakota,474.0,-1.0,0.084,5644.0
1997,SD,South Dakota,467.0,-7.0,0.084,5589.0
1998,SD,South Dakota,477.0,10.0,0.085,5581.0
1999,SD,South Dakota,477.0,0.0,0.086,5525.0
2000,SD,South Dakota,477.0,0.0,0.088,5420.0
2001,SD,South Dakota,477.0,0.0,0.088,5424.0
2002,SD,South Dakota,477.0,0.0,0.087,5505.0
2003,SD,South Dakota,476.0,-1.0,0.088,5380.0
2004,SD,South Dakota,477.0,1.0,0.09,5318.0
2005,SD,South Dakota,482.0,5.0,0.086,5604.0
2006,SD,South Dakota,492.0,10.0,0.084,5865.0
2007,SD,South Dakota,492.0,0.0,0.086,5739.0
2008,SD,South Dakota,496.6,4.6,0.069,7161.4
2009,SD,South Dakota,496.6,0.0,0.065,7675.6
2010,SD,South Dakota,496.6,0.0,0.061,8150.5
2011,SD,South Dakota,496.6,0.0,0.059,8407.9
2012,SD,South Dakota,496.6,0.0,0.055,8986.5
2013,SD,South Dakota,496.6,0.0,0.053,9441.3
2014,SD,South Dakota,475.0,-21.6,0.052,9111.9
2015,SD,South Dakota,475.0,0.0,0.05,9467.5
2016,SD,South Dakota,474.0,-1.0,0.048,9965.9
2017,SD,South Dakota,474.0,0.0,0.05,9476.0
2018,SD,South Dakota,474.0,0.0,0.05,9556.1
2019,SD,South Dakota,474.0,0.0,0.045,10592.5
2020,SD,South Dakota,474.0,0.0,0.039,12028.8
2021,SD,South Dakota,474.0,0.0,0.034,13995.2
2022,SD,South Dakota,475.0,1.0,0.034,14125.3
2023,SD,South Dakota,475.0,0.0,0.031,15153.2
2024,SD,South Dakota,477.3,2.3,0.03,16146.2
1990,TN,Tennessee,9379.0,,0.272,34471.0
1991,TN,Tennessee,8787.0,-592.0,0.266,33015.0
1992,TN,Tennessee,8752.0,-35.0,0.265,32979.0
1993,TN,Tennessee,8753.0,1.0,0.265,32981.0
1994,TN,Tennessee,8715.0,-38.0,0.257,33930.0
1995,TN,Tennessee,8947.0,232.0,0.267,33518.0
1996,TN,Tennessee,8947.0,0.0,0.25,35736.0
1997,TN,Tennessee,8913.0,-34.0,0.237,37632.0
1998,TN,Tennessee,8967.0,54.0,0.247,36352.0
1999,TN,Tennessee,8981.0,14.0,0.244,36770.0
2000,TN,Tennessee,8981.0,0.0,0.231,38915.0
2001,TN,Tennessee,8913.0,-68.0,0.221,40320.0
2002,TN,Tennessee,8878.0,-35.0,0.214,41447.0
2003,TN,Tennessee,8661.0,-217.0,0.21,41325.0
2004,TN,Tennessee,8675.0,14.0,0.21,41372.0
2005,TN,Tennessee,8874.0,199.0,0.214,41499.0
2006,TN,Tennessee,8841.0,-33.0,0.211,41811.0
2007,TN,Tennessee,8816.0,-25.0,0.211,41724.0
2008,TN,Tennessee,8840.6,24.6,0.192,45940.3
2009,TN,Tennessee,8804.6,-36.0,0.192,45881.9
2010,TN,Tennessee,8804.6,0.0,0.185,47547.6
2011,TN,Tennessee,8580.6,-224.0,0.183,46950.6
2012,TN,Tennessee,8228.6,-352.0,0.172,47878.8
2013,TN,Tennessee,8228.6,0.0,0.172,47886.8
2014,TN,Tennessee,7847.6,-381.0,0.166,47288.0
2015,TN,Tennessee,7077.3,-770.3,0.155,45721.8
2016,TN,Tennessee,7014.3,-63.0,0.146,48066.6
2017,TN,Tennessee,6586.3,-428.0,0.139,47285.0
2018,TN,Tennessee,5845.3,-741.0,0.119,49220.8
2019,TN,Tennessee,5845.3,0.0,0.118,49384.9
2020,TN,Tennessee,5845.3,0.0,0.118,49374.0
2021,TN,Tennessee,5840.3,-5.0,0.118,49390.7
2022,TN,Tennessee,5819.5,-20.8,0.116,49960.5
2023,TN,Tennessee,4954.5,-865.0,0.101,48895.6
2024,TN,Tennessee,4703.5,-251.0,0.097,48275.7
1990,TX,Texas,18928.0,,0.138,136767.0
1991,TX,Texas,19114.0,186.0,0.139,137028.0
1992,TX,Texas,19673.0,559.0,0.14,140897.0
1993,TX,Texas,19673.0,0.0,0.139,141584.0
1994,TX,Texas,19683.0,10.0,0.138,143015.0
1995,TX,Texas,19737.0,54.0,0.136,145328.0
1996,TX,Texas,19739.0,2.0,0.135,146724.0
1997,TX,Texas,19927.0,188.0,0.136,146910.0
1998,TX,Texas,20069.0,142.0,0.135,149144.0
1999,TX,Texas,20213.0,144.0,0.133,152113.0
2000,TX,Texas,19812.0,-401.0,0.121,163796.0
2001,TX,Texas,19913.0,101.0,0.113,176512.0
2002,TX,Texas,20196.0,283.0,0.105,193130.0
2003,TX,Texas,20053.0,-143.0,0.103,195140.0
2004,TX,Texas,20201.0,148.0,0.1,201236.0
2005,TX,Texas,20188.0,-13.0,0.1,202094.0
2006,TX,Texas,19843.0,-345.0,0.098,201508.0
2007,TX,Texas,19817.0,-26.0,0.097,203876.0
2008,TX,Texas,20189.0,372.0,0.072,280958.4
2009,TX,Texas,20247.0,58.0,0.074,273144.8
2010,TX,Texas,22335.4,2088.4,0.078,285205.7
2011,TX,Texas,23180.4,845.0,0.081,287468.2
2012,TX,Texas,23132.4,-48.0,0.081,286692.6
2013,TX,Texas,24091.5,959.1,0.084,285637.9
2014,TX,Texas,24121.5,30.0,0.082,293937.2
2015,TX,Texas,24116.5,-5.0,0.08,303010.9
2016,TX,Texas,23589.0,-527.5,0.077,305823.3
2017,TX,Texas,23589.0,0.0,0.074,317758.4
2018,TX,Texas,19321.6,-4267.4,0.061,316184.1
2019,TX,Texas,18872.6,-449.0,0.059,321644.9
2020,TX,Texas,18141.6,-731.0,0.055,331814.9
2021,TX,Texas,18141.6,0.0,0.05,359485.3
2022,TX,Texas,18141.6,0.0,0.048,380831.2
2023,TX,Texas,16622.6,-1519.0,0.042,397836.4
2024,TX,Texas,16283.6,-339.0,0.038,432352.9
1990,US,United States,304334.0,,0.21,1449101.0
1991,US,United States,306727.0,2393.0,0.209,1465113.0
1992,US,United States,309111.0,2384.0,0.209,1480789.0
1993,US,United States,308923.0,-188.0,0.207,1492006.0
1994,US,United States,309618.0,695.0,0.205,1510048.0
1995,US,United States,311436.0,1818.0,0.202,1539012.0
1996,US,United States,313399.0,1963.0,0.202,1552537.0
1997,US,United States,314447.0,1048.0,0.201,1568309.0
1998,US,United States,316444.0,1997.0,0.204,1551819.0
1999,US,United States,315693.0,-751.0,0.201,1571738.0
2000,US,United States,315929.0,236.0,0.194,1624842.0
2001,US,United States,314230.0,-1699.0,0.185,1696508.0
2002,US,United States,315283.0,1053.0,0.174,1808927.0
2003,US,United States,312474.0,-2809.0,0.166,1886467.0
2004,US,United States,312630.0,156.0,0.163,1920890.0
2005,US,United States,313380.0,750.0,0.16,1956040.0
2006,US,United States,312956.0,-424.0,0.159,1972429.0
2007,US,United States,312738.0,-218.0,0.157,1989776.0
2008,US,United States,313321.6,583.6,0.127,2475505.3
2009,US,United States,314294.1,972.5,0.125,2509130.1
2010,US,United States,317339.1,3045.0,0.125,2539749.3
2011,US,United States,317640.3,301.2,0.124,2570698.4
2012,US,United States,309680.4,-7959.9,0.119,2598767.7
2013,US,United States,303306.3,-6374.1,0.117,2595662.2
2014,US,United States,299094.2,-4212.1,0.114,2620453.4
2015,US,United States,279719.9,-19374.3,0.107,2618028.0
2016,US,United States,266619.9,-13100.0,0.101,2651822.0
2017,US,United States,256547.3,-10072.6,0.096,2685024.4
2018,US,United States,242785.6,-13761.7,0.089,2723813.1
2019,US,United States,228657.4,-14128.2,0.083,2743657.6
2020,US,United States,215554.2,-13103.2,0.077,2792795.2
2021,US,United States,209825.7,-5728.5,0.073,2873340.0
2022,US,United States,189316.3,-20509.4,0.065,2928911.1
2023,US,United States,178441.7,-10874.6,0.059,3004094.2
2024,US,United States,174177.6,-4264.1,0.056,3119307.5
1990,UT,Utah,4241.0,,0.457,9289.0
1991,UT,Utah,4196.0,-45.0,0.444,9454.0
1992,UT,Utah,4196.0,0.0,0.441,9505.0
1993,UT,Utah,4250.0,54.0,0.441,9629.0
1994,UT,Utah,4327.0,77.0,0.437,9908.0
1995,UT,Utah,4429.0,102.0,0.437,10132.0
1996,UT,Utah,4429.0,0.0,0.437,10127.0
1997,UT,Utah,4372.0,-57.0,0.431,10152.0
1998,UT,Utah,4502.0,130.0,0.432,10416.0
1999,UT,Utah,4517.0,15.0,0.431,10471.0
2000,UT,Utah,4565.0,48.0,0.437,10449.0
2001,UT,Utah,4565.0,0.0,0.43,10620.0
2002,UT,Utah,4562.0,-3.0,0.396,11507.0
2003,UT,Utah,4606.0,44.0,0.397,11594.0
2004,UT,Utah,4826.0,220.0,0.398,12140.0
2005,UT,Utah,4891.0,65.0,0.375,13057.0
2006,UT,Utah,4891.0,0.0,0.364,13425.0
2007,UT,Utah,4871.0,-20.0,0.342,14245.0
2008,UT,Utah,4871.0,0.0,0.301,16180.4
2009,UT,Utah,4871.0,0.0,0.289,16830.5
2010,UT,Utah,4903.0,32.0,0.288,17027.5
2011,UT,Utah,4903.0,0.0,0.284,17268.9
2012,UT,Utah,4901.0,-2.0,0.283,17322.2
2013,UT,Utah,4926.0,25.0,0.282,17471.8
2014,UT,Utah,4926.0,0.0,0.255,19352.3
2015,UT,Utah,4754.0,-172.0,0.243,19532.0
2016,UT,Utah,4654.0,-100.0,0.216,21502.4
2017,UT,Utah,4654.0,0.0,0.216,21529.1
2018,UT,Utah,4654.0,0.0,0.216,21571.1
2019,UT,Utah,4581.0,-73.0,0.212,21622.0
2020,UT,Utah,4581.0,0.0,0.204,22435.6
2021,UT,Utah,4581.0,0.0,0.197,23200.5
2022,UT,Utah,4581.0,0.0,0.195,23525.6
2023,UT,Utah,4581.0,0.0,0.193,23771.1
2024,UT,Utah,4581.0,0.0,0.18,25476.5
1990,VA,Virginia,4598.0,,0.153,30130.0
1991,VA,Virginia,4672.0,74.0,0.151,30975.0
1992,VA,Virginia,5130.0,458.0,0.151,33866.0
1993,VA,Virginia,5111.0,-19.0,0.15,34076.0
1994,VA,Virginia,5111.0,0.0,0.149,34193.0
1995,VA,Virginia,6376.0,1265.0,0.181,35255.0
1996,VA,Virginia,6218.0,-158.0,0.169,36746.0
1997,VA,Virginia,6249.0,31.0,0.167,37464.0
1998,VA,Virginia,6221.0,-28.0,0.166,37499.0
1999,VA,Virginia,6205.0,-16.0,0.166,37454.0
2000,VA,Virginia,6385.0,180.0,0.163,39251.0
2001,VA,Virginia,6137.0,-248.0,0.153,40172.0
2002,VA,Virginia,6117.0,-20.0,0.151,40403.0
2003,VA,Virginia,5733.0,-384.0,0.135,42341.0
2004,VA,Virginia,5795.0,62.0,0.129,44961.0
2005,VA,Virginia,5783.0,-12.0,0.128,45198.0
2006,VA,Virginia,5774.0,-9.0,0.127,45297.0
2007,VA,Virginia,5794.0,20.0,0.126,45985.0
2008,VA,Virginia,5773.4,-20.6,0.102,56720.3
2009,VA,Virginia,5777.2,3.8,0.1,57539.1
2010,VA,Virginia,5867.9,90.7,0.101,58230.3
2011,VA,Virginia,5848.1,-19.8,0.098,59902.4
2012,VA,Virginia,5976.3,128.2,0.099,60233.5
2013,VA,Virginia,5554.1,-422.2,0.092,60263.5
2014,VA,Virginia,5541.9,-12.2,0.086,64680.1
2015,VA,Virginia,4379.3,-1162.6,0.07,62599.7
2016,VA,Virginia,3800.4,-578.9,0.056,67497.0
2017,VA,Virginia,3778.0,-22.4,0.053,70634.9
2018,VA,Virginia,3780.0,2.0,0.049,76557.0
2019,VA,Virginia,2878.9,-901.1,0.04,72679.3
2020,VA,Virginia,2878.7,-0.2,0.04,72373.2
2021,VA,Virginia,2536.0,-342.7,0.034,74423.4
2022,VA,Virginia,2536.0,0.0,0.033,76471.3
2023,VA,Virginia,1530.1,-1005.9,0.021,74558.7
2024,VA,Virginia,1530.1,0.0,0.02,77425.9
1990,WA,Washington,1326.0,,0.027,49092.0
1991,WA,Washington,1362.0,36.0,0.028,49387.0
1992,WA,Washington,1392.0,30.0,0.028,49333.0
1993,WA,Washington,1392.0,0.0,0.028,49956.0
1994,WA,Washington,1392.0,0.0,0.028,50379.0
1995,WA,Washington,1342.0,-50.0,0.027,50511.0
1996,WA,Washington,1392.0,50.0,0.028,50508.0
1997,WA,Washington,1392.0,0.0,0.027,52509.0
1998,WA,Washington,1392.0,0.0,0.027,52337.0
1999,WA,Washington,1342.0,-50.0,0.026,52167.0
2000,WA,Washington,1355.0,13.0,0.026,52132.0
2001,WA,Washington,1407.0,52.0,0.026,53562.0
2002,WA,Washington,1407.0,0.0,0.026,54207.0
2003,WA,Washington,1407.0,0.0,0.025,55254.0
2004,WA,Washington,1407.0,0.0,0.026,55038.0
2005,WA,Washington,1405.0,-2.0,0.025,55581.0
2006,WA,Washington,1405.0,0.0,0.025,56447.0
2007,WA,Washington,1405.0,0.0,0.025,57230.0
2008,WA,Washington,1376.0,-29.0,0.022,62742.7
2009,WA,Washington,1376.0,0.0,0.022,63959.1
2010,WA,Washington,1340.0,-36.0,0.021,64798.6
2011,WA,Washington,1340.0,0.0,0.021,64857.2
2012,WA,Washington,1340.0,0.0,0.02,65630.2
2013,WA,Washington,1340.0,0.0,0.021,64766.0
2014,WA,Washington,1340.0,0.0,0.021,65295.5
2015,WA,Washington,1340.0,0.0,0.02,65473.2
2016,WA,Washington,1340.0,0.0,0.02,65397.4
2017,WA,Washington,1340.0,0.0,0.021,65334.3
2018,WA,Washington,1340.0,0.0,0.02,65388.1
2019,WA,Washington,1340.0,0.0,0.021,65276.1
2020,WA,Washington,670.0,-670.0,0.01,64762.8
2021,WA,Washington,670.0,0.0,0.01,64633.4
2022,WA,Washington,670.0,0.0,0.01,65283.4
2023,WA,Washington,670.0,0.0,0.01,65348.7
2024,WA,Washington,670.0,0.0,0.01,65626.9
1990,WI,Wisconsin,7422.0,,0.337,21992.0
1991,WI,Wisconsin,7429.0,7.0,0.338,22002.0
1992,WI,Wisconsin,7608.0,179.0,0.338,22514.0
1993,WI,Wisconsin,7629.0,21.0,0.333,22907.0
1994,WI,Wisconsin,7590.0,-39.0,0.32,23745.0
1995,WI,Wisconsin,7612.0,22.0,0.314,24238.0
1996,WI,Wisconsin,7777.0,165.0,0.312,24895.0
1997,WI,Wisconsin,7782.0,5.0,0.309,25186.0
1998,WI,Wisconsin,7646.0,-136.0,0.296,25836.0
1999,WI,Wisconsin,7612.0,-34.0,0.29,26276.0
2000,WI,Wisconsin,7619.0,7.0,0.28,27185.0
2001,WI,Wisconsin,7493.0,-126.0,0.266,28206.0
2002,WI,Wisconsin,7500.0,7.0,0.281,26727.0
2003,WI,Wisconsin,7439.0,-61.0,0.261,28528.0
2004,WI,Wisconsin,7133.0,-306.0,0.242,29468.0
2005,WI,Wisconsin,7146.0,13.0,0.22,32417.0
2006,WI,Wisconsin,7063.0,-83.0,0.215,32831.0
2007,WI,Wisconsin,6945.0,-118.0,0.212,32731.0
2008,WI,Wisconsin,7597.2,652.2,0.178,42661.2
2009,WI,Wisconsin,7519.1,-78.1,0.175,42895.4
2010,WI,Wisconsin,8063.4,544.3,0.189,42572.1
2011,WI,Wisconsin,8404.7,341.3,0.194,43407.8
2012,WI,Wisconsin,8258.9,-145.8,0.192,42991.7
2013,WI,Wisconsin,8150.8,-108.1,0.196,41562.0
2014,WI,Wisconsin,7950.9,-199.9,0.193,41175.1
2015,WI,Wisconsin,7372.7,-578.2,0.183,40317.7
2016,WI,Wisconsin,7116.7,-256.0,0.173,41079.2
2017,WI,Wisconsin,7128.8,12.1,0.172,41348.9
2018,WI,Wisconsin,5554.2,-1574.6,0.144,38563.1
2019,WI,Wisconsin,5540.8,-13.4,0.145,38084.9
2020,WI,Wisconsin,5587.2,46.4,0.135,41353.9
2021,WI,Wisconsin,5270.1,-317.1,0.127,41340.6
2022,WI,Wisconsin,5267.7,-2.4,0.125,42215.1
2023,WI,Wisconsin,5226.2,-41.5,0.117,44753.4
2024,WI,Wisconsin,4743.4,-482.8,0.106,44839.9
1990,WV,West Virginia,14633.0,,0.49,29836.0
1991,WV,West Virginia,14786.0,153.0,0.491,30141.0
1992,WV,West Virginia,14834.0,48.0,0.491,30237.0
1993,WV,West Virginia,14823.0,-11.0,0.49,30237.0
1994,WV,West Virginia,14865.0,42.0,0.49,30316.0
1995,WV,West Virginia,14765.0,-100.0,0.49,30110.0
1996,WV,West Virginia,14765.0,0.0,0.49,30104.0
1997,WV,West Virginia,14765.0,0.0,0.49,30102.0
1998,WV,West Virginia,14765.0,0.0,0.49,30110.0
1999,WV,West Virginia,14780.0,15.0,0.491,30131.0
2000,WV,West Virginia,14719.0,-61.0,0.488,30180.0
2001,WV,West Virginia,14703.0,-16.0,0.463,31732.0
2002,WV,West Virginia,14716.0,13.0,0.453,32466.0
2003,WV,West Virginia,14716.0,0.0,0.456,32239.0
2004,WV,West Virginia,14723.0,7.0,0.45,32711.0
2005,WV,West Virginia,14733.0,10.0,0.448,32921.0
2006,WV,West Virginia,14745.0,12.0,0.448,32887.0
2007,WV,West Virginia,14715.0,-30.0,0.457,32198.0
2008,WV,West Virginia,14702.6,-12.4,0.436,33752.6
2009,WV,West Virginia,14712.6,10.0,0.436,33772.6
2010,WV,West Virginia,14712.6,0.0,0.432,34056.1
2011,WV,West Virginia,15440.6,728.0,0.432,35739.4
2012,WV,West Virginia,14290.6,-1150.0,0.425,33661.1
2013,WV,West Virginia,14273.6,-17.0,0.424,33654.7
2014,WV,West Virginia,14273.6,0.0,0.424,33634.1
2015,WV,West Virginia,13081.0,-1192.6,0.418,31311.9
2016,WV,West Virginia,12958.0,-123.0,0.408,31734.5
2017,WV,West Virginia,12558.0,-400.0,0.406,30917.1
2018,WV,West Virginia,12558.0,0.0,0.406,30917.5
2019,WV,West Virginia,12568.0,10.0,0.406,30955.3
2020,WV,West Virginia,12568.0,0.0,0.405,31056.3
2021,WV,West Virginia,12558.0,-10.0,0.405,31029.0
2022,WV,West Virginia,12558.0,0.0,0.402,31257.4
2023,WV,West Virginia,12542.4,-15.6,0.402,31226.2
2024,WV,West Virginia,12542.5,0.1,0.397,31596.0
1990,WY,Wyoming,5553.0,,0.471,11800.0
1991,WY,Wyoming,5573.0,20.0,0.471,11823.0
1992,WY,Wyoming,5595.0,22.0,0.471,11883.0
1993,WY,Wyoming,5595.0,0.0,0.471,11883.0
1994,WY,Wyoming,5595.0,0.0,0.47,11911.0
1995,WY,Wyoming,5690.0,95.0,0.469,12125.0
1996,WY,Wyoming,5690.0,0.0,0.47,12115.0
1997,WY,Wyoming,5765.0,75.0,0.47,12272.0
1998,WY,Wyoming,5738.0,-27.0,0.469,12225.0
1999,WY,Wyoming,5737.0,-1.0,0.469,12221.0
2000,WY,Wyoming,5738.0,1.0,0.46,12463.0
2001,WY,Wyoming,5740.0,2.0,0.454,12651.0
2002,WY,Wyoming,5722.0,-18.0,0.451,12698.0
2003,WY,Wyoming,5792.0,70.0,0.445,13010.0
2004,WY,Wyoming,5792.0,0.0,0.445,13004.0
2005,WY,Wyoming,5847.0,55.0,0.436,13414.0
2006,WY,Wyoming,5847.0,0.0,0.436,13414.0
2007,WY,Wyoming,5847.0,0.0,0.438,13335.0
2008,WY,Wyoming,5931.9,84.9,0.412,14415.1
2009,WY,Wyoming,5928.9,-3.0,0.389,15257.7
2010,WY,Wyoming,6034.9,106.0,0.375,16098.7
2011,WY,Wyoming,6482.4,447.5,0.382,16988.7
2012,WY,Wyoming,6432.4,-50.0,0.381,16888.6
2013,WY,Wyoming,6432.4,0.0,0.381,16891.0
2014,WY,Wyoming,6387.5,-44.9,0.372,17175.0
2015,WY,Wyoming,6410.1,22.6,0.371,17291.1
2016,WY,Wyoming,6411.6,1.5,0.367,17454.1
2017,WY,Wyoming,6406.0,-5.6,0.367,17434.5
2018,WY,Wyoming,6406.0,0.0,0.362,17704.5
2019,WY,Wyoming,6403.0,-3.0,0.362,17689.7
2020,WY,Wyoming,6069.0,-334.0,0.305,19899.4
2021,WY,Wyoming,6069.0,0.0,0.291,20888.4
2022,WY,Wyoming,6069.0,0.0,0.291,20876.7
2023,WY,Wyoming,6069.0,0.0,0.288,21076.7
2024,WY,Wyoming,4999.0,-1070.0,0.212,23609.9
